num,patch,mag,magerr,elongation_norm,fwhm_norm,significance_abs,residual,psffit_sigma_ratio,psffit_peak_ratio,frac_det,density,density_good,bapsf,psf,score
344,3_8,26.262201,0.640577,0.520294,0.917997,5.336442,0.944902,0.974360,0.785032,0.733333,1,1,0.901459,3.982868,0
345,3_8,25.570857,0.313592,0.636425,1.124884,5.206462,0.992422,0.805329,1.264739,0.777778,1,1,0.911836,3.966943,0
346,3_8,25.388189,0.287623,0.982981,0.973418,4.027857,1.033075,1.016578,0.965026,0.644444,1,0,0.902276,3.977106,0
347,3_8,25.497094,0.311846,0.501283,1.842840,4.486856,0.939069,0.847398,1.053577,0.755556,2,1,0.890155,3.976080,0
348,3_8,25.742157,0.406903,0.564205,0.804165,4.145242,0.907395,0.890340,1.624938,0.711111,0,0,0.881424,3.970660,0
349,3_8,25.660015,0.340690,1.037248,0.975873,5.813086,0.996316,0.876907,0.871227,0.755556,1,1,0.917734,3.950875,0
350,3_8,26.944505,1.151842,0.575790,0.981204,5.686950,1.090041,0.977993,1.283912,0.622222,1,1,0.900349,3.970716,0
351,3_8,25.246393,0.246362,0.665025,0.805458,4.837429,0.876182,1.010101,1.497320,0.688889,1,1,0.913857,3.963068,0
352,3_8,25.959672,0.480160,0.444756,0.961927,5.115054,1.108255,0.934452,1.267404,0.755556,3,2,0.880177,3.961928,0
353,3_8,26.133814,0.570609,0.979830,0.552585,4.296876,0.984286,1.008953,1.558393,0.666667,0,0,0.904495,3.969530,0
354,3_8,25.555452,0.332606,0.977508,1.222987,3.513227,1.133579,1.126975,1.844771,0.711111,1,1,0.914469,3.961876,0
355,3_8,26.061777,0.491404,0.575168,0.944823,5.495674,0.901678,0.943305,0.762945,0.777778,1,1,0.918184,3.954004,0
356,3_8,25.444982,0.299326,0.520692,0.833035,4.639551,0.965349,0.944796,1.182790,0.644444,1,0,0.904745,3.966517,0
357,3_8,25.615073,0.360525,0.701842,0.959509,3.787931,0.937619,1.034121,0.864664,0.711111,4,1,0.908795,3.965011,0
358,3_8,25.675060,0.369890,0.828218,0.566772,5.207405,0.971066,0.975457,2.038081,0.555556,1,0,0.892208,3.962137,0
359,3_8,24.849039,0.216795,0.945180,0.670860,6.641951,0.989298,1.358577,1.710844,0.688889,4,1,0.909470,3.963732,0
360,3_8,24.951136,0.193827,0.788596,1.919175,2.668773,0.920373,0.838424,0.449966,0.888889,1,1,0.882262,3.953011,0
361,3_8,26.350927,0.698967,0.566072,0.829701,3.531024,1.013672,0.977803,2.641380,0.733333,3,1,0.884019,3.952265,0
362,3_8,25.993566,0.498954,0.679037,1.087238,4.694441,1.021744,1.173948,1.149418,0.666667,1,1,0.904051,3.960772,0
363,3_8,26.459932,0.778352,0.522499,1.171720,4.778633,1.075805,1.106119,1.163007,0.755556,1,1,0.889352,3.953853,0
364,3_8,24.939379,0.185617,0.681869,0.933439,4.124735,0.983696,1.038889,1.618175,0.800000,0,0,0.914794,3.957831,0
